Time,H,Q
40555.54167,0.23,137.08
40555.58333,0.13,111.03
40555.625,0.03,87.73
40555.66667,0.04,89.94
40555.70833,0.07,96.72
40555.75,0.11,106.15
40555.79167,0.21,131.65
40555.83333,0.26,145.43
40555.875,0.28,151.13
40555.91667,0.24,139.84
40555.95833,0.25,142.62
40556,0.15,116.02
40556.04167,0.14,113.52
40556.08333,0.12,108.58
40556.125,0.07,96.72
40556.16667,0.11,106.15
40556.20833,0.25,142.62
40556.25,0.29,154.02
40556.29167,0.45,204.03
40556.33333,0.51,224.59
40556.375,0.55,238.85
40556.41667,0.57,246.14
40556.45833,0.44,200.7
40556.5,0.31,159.89
40556.54167,0.21,131.65
40556.58333,0.09,101.38
40556.625,-0.03,75.07
40556.66667,-0.04,73.05
40556.70833,-0.07,67.17
40556.75,-0.09,63.39
40556.79167,-0.01,79.18
40556.83333,0.07,96.72
40556.875,0.08,99.04
40556.91667,0.23,137.08
40556.95833,0.2,128.98
40557,0.15,116.02
40557.04167,0.2,128.98
40557.08333,0.14,113.52
40557.125,0.13,111.03
40557.16667,0.19,126.33
40557.20833,0.19,126.33
40557.25,0.32,162.86
40557.29167,0.46,207.39
40557.33333,0.45,204.03
40557.375,0.54,235.24
40557.41667,0.51,224.59
40557.45833,0.42,194.12
40557.5,0.4,187.65
40557.54167,0.32,162.86
40557.58333,0.21,131.65
40557.625,0.06,94.43
40557.66667,-0.02,77.11
40557.70833,-0.08,65.26
40557.75,-0.14,54.41
40557.79167,-0.16,51.01
40557.83333,-0.11,59.71
40557.875,-0.04,73.05
40557.91667,0.1,103.76
40557.95833,0.16,118.56
40558,0.17,121.12
40558.04167,0.29,154.02
40558.08333,0.28,151.13
40558.125,0.28,151.13
40558.16667,0.3,156.94
40558.20833,0.35,171.95
40558.25,0.35,171.95
40558.29167,0.42,194.12
40558.33333,0.54,235.24
40558.375,0.54,235.24
40558.41667,0.63,268.68
40558.45833,0.59,253.54
40558.5,0.53,231.67
40558.54167,0.56,242.48
40558.58333,0.43,197.4
40558.625,0.3,156.94
40558.66667,0.2,128.98
40558.70833,0.04,89.94
40558.75,-0.05,71.06
40558.79167,-0.1,61.54
40558.83333,-0.12,57.92
40558.875,-0.07,67.17
40558.91667,0.06,94.43
40558.95833,0.17,121.12
40559,0.27,148.27
40559.04167,0.45,204.03
40559.08333,0.53,231.67
40559.125,0.55,238.85
40559.16667,0.57,246.14
40559.20833,0.58,249.83
40559.25,0.55,238.85
40559.29167,0.57,246.14
40559.33333,0.54,235.24
40559.375,0.6,257.29
40559.41667,0.72,304.33
40559.45833,0.63,268.68
40559.5,0.69,292.2
40559.54167,0.68,288.21
40559.58333,0.59,253.54
40559.625,0.46,207.39
40559.66667,0.27,148.27
40559.70833,0.1,103.76
40559.75,0.02,85.55
40559.79167,-0.12,57.92
40559.83333,-0.2,44.54
40559.875,-0.19,46.11
40559.91667,-0.18,47.72
40559.95833,-0.03,75.07
40560,0.15,116.02
40560.04167,0.28,151.13
40560.08333,0.47,210.77
40560.125,0.61,261.06
40560.16667,0.5,221.1
40560.20833,0.49,217.63
40560.25,0.46,207.39
40560.29167,0.49,217.63
40560.33333,0.46,207.39
40560.375,0.42,194.12
40560.41667,0.54,235.24
40560.45833,0.63,268.68
40560.5,0.58,249.83
40560.54167,0.71,300.26
40560.58333,0.64,272.53
40560.625,0.53,231.67
40560.66667,0.48,214.19
40560.70833,0.27,148.27
40560.75,0.04,89.94
40560.79167,-0.11,59.71
40560.83333,-0.22,41.47
40560.875,-0.25,37.07
40560.91667,-0.25,37.07
40560.95833,-0.25,37.07
40561,-0.05,71.06
40561.04167,0.22,134.35
40561.08333,0.35,171.95
40561.125,0.55,238.85
40561.16667,0.54,235.24
40561.20833,0.58,249.83
40561.25,0.53,231.67
40561.29167,0.46,207.39
40561.33333,0.34,168.9
40561.375,0.29,154.02
40561.41667,0.36,175.04
40561.45833,0.41,190.87
40561.5,0.5,221.1
40561.54167,0.62,264.85
40561.58333,0.68,288.21
40561.625,0.63,268.68
40561.66667,0.54,235.24
40561.70833,0.32,162.86
40561.75,0.14,113.52
40561.79167,-0.05,71.06
40561.83333,-0.21,42.99
40561.875,-0.24,38.51
40561.91667,-0.26,35.65
40561.95833,-0.28,32.91
40562,-0.25,37.07
40562.04167,-0.1,61.54
40562.08333,0.16,118.56
40562.125,0.48,214.19
40562.16667,0.48,214.19
40562.20833,0.61,261.06
40562.25,0.62,264.85
40562.29167,0.43,197.4
40562.33333,0.38,181.29
40562.375,0.36,175.04
40562.41667,0.31,159.89
40562.45833,0.38,181.29
40562.5,0.53,231.67
40562.54167,0.62,264.85
40562.58333,0.77,325.1
40562.625,0.81,342.21
40562.66667,0.74,312.56
40562.70833,0.63,268.68
40562.75,0.42,194.12
40562.79167,0.14,113.52
40562.83333,-0.06,69.1
40562.875,-0.18,47.72
40562.91667,-0.24,38.51
40562.95833,-0.25,37.07
40563,-0.25,37.07
40563.04167,-0.16,51.01
40563.08333,0.06,94.43
40563.125,0.4,187.65
40563.16667,0.55,238.85
40563.20833,0.65,276.41
40563.25,0.74,312.56
40563.29167,0.6,257.29
40563.33333,0.39,184.45
40563.375,0.31,159.89
40563.41667,0.19,126.33
40563.45833,0.2,128.98
40563.5,0.38,181.29
40563.54167,0.46,207.39
40563.58333,0.66,280.31
40563.625,0.87,368.69
40563.66667,0.84,355.33
40563.70833,0.77,325.1
40563.75,0.6,257.29
40563.79167,0.29,154.02
40563.83333,0.07,96.72
40563.875,-0.12,57.92
40563.91667,-0.22,41.47
40563.95833,-0.27,34.27
40564,-0.27,34.27
40564.04167,-0.24,38.51
40564.08333,-0.11,59.71
40564.125,0.24,139.84
40564.16667,0.51,224.59
40564.20833,0.66,280.31
40564.25,0.71,300.26
40564.29167,0.64,272.53
40564.33333,0.43,197.4
40564.375,0.4,187.65
40564.41667,0.27,148.27
40564.45833,0.1,103.76
40564.5,0.19,126.33
40564.54167,0.34,168.9
40564.58333,0.47,210.77
40564.625,0.73,308.43
40564.66667,0.86,364.21
40564.70833,0.77,325.1
40564.75,0.77,325.1
40564.79167,0.53,231.67
40564.83333,0.24,139.84
40564.875,0.03,87.73
40564.91667,-0.13,56.15
40564.95833,-0.24,38.51
40565,-0.28,32.91
40565.04167,-0.28,32.91
40565.08333,-0.23,39.97
40565.125,0.14,113.52
40565.16667,0.34,168.9
40565.20833,0.66,280.31
40565.25,0.75,316.71
40565.29167,0.67,284.25
40565.33333,0.56,242.48
40565.375,0.4,187.65
40565.41667,0.23,137.08
40565.45833,0.09,101.38
40565.5,0.05,92.17
40565.54167,0.13,111.03
40565.58333,0.28,151.13
40565.625,0.44,200.7
40565.66667,0.76,320.89
40565.70833,0.81,342.21
40565.75,0.77,325.1
40565.79167,0.68,288.21
40565.83333,0.44,200.7
40565.875,0.16,118.56
40565.91667,-0.03,75.07
40565.95833,-0.16,51.01
40566,-0.27,34.27
40566.04167,-0.28,32.91
40566.08333,-0.26,35.65
40566.125,-0.07,67.17
40566.16667,0.21,131.65
40566.20833,0.47,210.77
40566.25,0.71,300.26
40566.29167,0.64,272.53
40566.33333,0.46,207.39
40566.375,0.33,165.87
40566.41667,0.17,121.12
40566.45833,-0.01,79.18
40566.5,-0.08,65.26
40566.54167,-0.12,57.92
40566.58333,-0.07,67.17
40566.625,0.2,128.98
40566.66667,0.41,190.87
40566.70833,0.59,253.54
40566.75,0.71,300.26
40566.79167,0.61,261.06
40566.83333,0.48,214.19
40566.875,0.33,165.87
40566.91667,0.11,106.15
40566.95833,-0.08,65.26
40567,-0.21,42.99
40567.04167,-0.27,34.27
40567.08333,-0.26,35.65
40567.125,-0.08,65.26
40567.16667,0.1,103.76
40567.20833,0.42,194.12
40567.25,0.69,292.2
40567.29167,0.68,288.21
40567.33333,0.61,261.06
40567.375,0.47,210.77
40567.41667,0.29,154.02
40567.45833,0.11,106.15
40567.5,-0.03,75.07
40567.54167,-0.11,59.71
40567.58333,-0.12,57.92
40567.625,0.02,85.55
40567.66667,0.22,134.35
40567.70833,0.48,214.19
40567.75,0.59,253.54
40567.79167,0.57,246.14
40567.83333,0.59,253.54
40567.875,0.44,200.7
40567.91667,0.29,154.02
40567.95833,0.11,106.15
40568,-0.05,71.06
40568.04167,-0.13,56.15
40568.08333,-0.13,56.15
40568.125,0.03,87.73
40568.16667,0.12,108.58
40568.20833,0.48,214.19
40568.25,0.6,257.29
40568.29167,0.73,308.43
40568.33333,0.69,292.2
40568.375,0.53,231.67
40568.41667,0.4,187.65
40568.45833,0.21,131.65
40568.5,0.02,85.55
40568.54167,-0.1,61.54
40568.58333,-0.17,49.35
40568.625,-0.18,47.72
40568.66667,-0.04,73.05
40568.70833,0.14,113.52
40568.75,0.29,154.02
40568.79167,0.38,181.29
40568.83333,0.43,197.4
40568.875,0.42,194.12
40568.91667,0.34,168.9
40568.95833,0.24,139.84
40569,0.1,103.76
40569.04167,0,81.27
40569.08333,-0.04,73.05
40569.125,0.04,89.94
40569.16667,0.1,103.76
40569.20833,0.38,181.29
40569.25,0.6,257.29
40569.29167,0.66,280.31
40569.33333,0.72,304.33
40569.375,0.52,228.11
40569.41667,0.44,200.7
40569.45833,0.23,137.08
40569.5,0.12,108.58
40569.54167,0.01,83.4
40569.58333,-0.12,57.92
40569.625,-0.18,47.72
40569.66667,-0.17,49.35
40569.70833,-0.07,67.17
40569.75,0.05,92.17
40569.79167,0.12,108.58
40569.83333,0.26,145.43
40569.875,0.27,148.27
40569.91667,0.28,151.13
40569.95833,0.24,139.84
40570,0.18,123.71
40570.04167,0.13,111.03
40570.08333,0.08,99.04
40570.125,0.12,108.58
40570.16667,0.19,126.33
40570.20833,0.32,162.86
40570.25,0.51,224.59
40570.29167,0.63,268.68
40570.33333,0.69,292.2
40570.375,0.67,284.25
40570.41667,0.58,249.83
40570.45833,0.45,204.03
40570.5,0.33,165.87
40570.54167,0.14,113.52
40570.58333,0,81.27
40570.625,-0.07,67.17
40570.66667,-0.14,54.41
40570.70833,-0.17,49.35
40570.75,-0.11,59.71
40570.79167,-0.08,65.26
40570.83333,0.02,85.55
40570.875,0.11,106.15
40570.91667,0.15,116.02
40570.95833,0.17,121.12
40571,0.23,137.08
40571.04167,0.2,128.98
40571.08333,0.22,134.35
40571.125,0.27,148.27
40571.16667,0.21,131.65
40571.20833,0.31,159.89
40571.25,0.48,214.19
40571.29167,0.51,224.59
40571.33333,0.52,228.11
40571.375,0.62,264.85
40571.41667,0.53,231.67
40571.45833,0.5,221.1
40571.5,0.38,181.29
40571.54167,0.17,121.12
40571.58333,0.04,89.94
40571.625,-0.11,59.71
40571.66667,-0.2,44.54
40571.70833,-0.26,35.65
40571.75,-0.27,34.27
40571.79167,-0.26,35.65
40571.83333,-0.24,38.51
40571.875,-0.18,47.72
40571.91667,0,81.27
40571.95833,0.05,92.17
40572,0.14,113.52
40572.04167,0.18,123.71
40572.08333,0.25,142.62
40572.125,0.27,148.27
40572.16667,0.25,142.62
40572.20833,0.32,162.86
40572.25,0.38,181.29
40572.29167,0.43,197.4
40572.33333,0.49,217.63
40572.375,0.52,228.11
40572.41667,0.52,228.11
40572.45833,0.48,214.19
40572.5,0.49,217.63
40572.54167,0.43,197.4
40572.58333,0.3,156.94
40572.625,0.19,126.33
40572.66667,0.02,85.55
40572.70833,-0.11,59.71
40572.75,-0.2,44.54
40572.79167,-0.27,34.27
40572.83333,-0.26,35.65
40572.875,-0.24,38.51
40572.91667,-0.13,56.15
40572.95833,-0.02,77.11
40573,0.11,106.15
40573.04167,0.31,159.89
40573.08333,0.43,197.4
40573.125,0.42,194.12
40573.16667,0.47,210.77
40573.20833,0.45,204.03
40573.25,0.36,175.04
40573.29167,0.45,204.03
40573.33333,0.49,217.63
40573.375,0.42,194.12
40573.41667,0.51,224.59
40573.45833,0.58,249.83
40573.5,0.6,257.29
40573.54167,0.55,238.85
40573.58333,0.52,228.11
40573.625,0.4,187.65
40573.66667,0.2,128.98
40573.70833,0.04,89.94
40573.75,-0.1,61.54
40573.79167,-0.23,39.97
40573.83333,-0.28,32.91
40573.875,-0.29,31.58
40573.91667,-0.31,29.01
40573.95833,-0.19,46.11
40574,-0.06,69.1
40574.04167,0.12,108.58
40574.08333,0.3,156.94
40574.125,0.43,197.4
40574.16667,0.36,175.04
40574.20833,0.45,204.03
40574.25,0.38,181.29
40574.29167,0.36,175.04
40574.33333,0.28,151.13
40574.375,0.22,134.35
40574.41667,0.29,154.02
40574.45833,0.44,200.7
40574.5,0.49,217.63
40574.54167,0.52,228.11
40574.58333,0.57,246.14
40574.625,0.48,214.19
40574.66667,0.34,168.9
40574.70833,0.22,134.35
40574.75,-0.01,79.18
40574.79167,-0.19,46.11
40574.83333,-0.28,32.91
40574.875,-0.34,25.35
40574.91667,-0.35,24.18
40574.95833,-0.32,27.76
40575,-0.22,41.47
40575.04167,0.03,87.73
40575.08333,0.25,142.62
40575.125,0.4,187.65
40575.16667,0.44,200.7
40575.20833,0.47,210.77
40575.25,0.35,171.95
40575.29167,0.32,162.86
40575.33333,0.25,142.62
40575.375,0.2,128.98
40575.41667,0.21,131.65
40575.45833,0.27,148.27
40575.5,0.37,178.15
40575.54167,0.49,217.63
40575.58333,0.53,231.67
40575.625,0.57,246.14
40575.66667,0.44,200.7
40575.70833,0.3,156.94
40575.75,0.11,106.15
40575.79167,-0.1,61.54
40575.83333,-0.24,38.51
40575.875,-0.33,26.54
40575.91667,-0.35,24.18
40575.95833,-0.36,23.04
40576,-0.32,27.76
40576.04167,-0.19,46.11
40576.08333,0.09,101.38
40576.125,0.32,162.86
40576.16667,0.36,175.04
40576.20833,0.38,181.29
40576.25,0.36,175.04
40576.29167,0.26,145.43
40576.33333,0.13,111.03
40576.375,-0.01,79.18
40576.41667,-0.07,67.17
40576.45833,0,81.27
40576.5,0.13,111.03
40576.54167,0.4,187.65
40576.58333,0.49,217.63
40576.625,0.66,280.31
40576.66667,0.57,246.14
40576.70833,0.43,197.4
40576.75,0.29,154.02
40576.79167,0.03,87.73
40576.83333,-0.16,51.01
40576.875,-0.3,30.28
40576.91667,-0.34,25.35
40576.95833,-0.36,23.04
40577,-0.34,25.35
40577.04167,-0.28,32.91
40577.08333,-0.05,71.06
40577.125,0.23,137.08
40577.16667,0.41,190.87
40577.20833,0.46,207.39
40577.25,0.47,210.77
40577.29167,0.33,165.87
40577.33333,0.17,121.12
40577.375,0.05,92.17
40577.41667,-0.03,75.07
40577.45833,-0.09,63.39
40577.5,0.09,101.38
40577.54167,0.28,151.13
40577.58333,0.52,228.11
40577.625,0.72,304.33
40577.66667,0.65,276.41
40577.70833,0.57,246.14
40577.75,0.47,210.77
40577.79167,0.19,126.33
40577.83333,-0.04,73.05
40577.875,-0.21,42.99
40577.91667,-0.3,30.28
40577.95833,-0.33,26.54
40578,-0.36,23.04
40578.04167,-0.34,25.35
40578.08333,-0.15,52.69
40578.125,0.19,126.33
40578.16667,0.4,187.65
40578.20833,0.48,214.19
40578.25,0.5,221.1
40578.29167,0.4,187.65
40578.33333,0.24,139.84
40578.375,0.06,94.43
40578.41667,-0.06,69.1
40578.45833,-0.09,63.39
40578.5,-0.01,79.18
40578.54167,0.11,106.15
40578.58333,0.32,162.86
40578.625,0.58,249.83
40578.66667,0.61,261.06
40578.70833,0.61,261.06
40578.75,0.55,238.85
40578.79167,0.32,162.86
40578.83333,0.13,111.03
40578.875,-0.09,63.39
40578.91667,-0.25,37.07
40578.95833,-0.35,24.18
40579,-0.38,20.85
40579.04167,-0.32,27.76
40579.08333,-0.18,47.72
40579.125,0.16,118.56
40579.16667,0.39,184.45
40579.20833,0.5,221.1
40579.25,0.57,246.14
40579.29167,0.5,221.1
40579.33333,0.36,175.04
40579.375,0.21,131.65
40579.41667,0.03,87.73
40579.45833,-0.09,63.39
40579.5,-0.13,56.15
40579.54167,-0.03,75.07
40579.58333,0.13,111.03
40579.625,0.45,204.03
40579.66667,0.61,261.06
40579.70833,0.58,249.83
40579.75,0.6,257.29
40579.79167,0.46,207.39
40579.83333,0.21,131.65
40579.875,0.03,87.73
40579.91667,-0.16,51.01
40579.95833,-0.28,32.91
40580,-0.33,26.54
40580.04167,-0.33,26.54
40580.08333,-0.24,38.51
40580.125,0.08,99.04
40580.16667,0.27,148.27
40580.20833,0.52,228.11
40580.25,0.53,231.67
40580.29167,0.49,217.63
40580.33333,0.36,175.04
40580.375,0.13,111.03
40580.41667,-0.09,63.39
40580.45833,-0.16,51.01
40580.5,-0.15,52.69
40580.54167,-0.14,54.41
40580.58333,0.01,83.4
40580.625,0.29,154.02
40580.66667,0.51,224.59
40580.70833,0.62,264.85
40580.75,0.67,284.25
40580.79167,0.52,228.11
40580.83333,0.38,181.29
40580.875,0.19,126.33
40580.91667,0,81.27
40580.95833,-0.14,54.41
40581,-0.24,38.51
40581.04167,-0.25,37.07
40581.08333,-0.1,61.54
40581.125,0.15,116.02
40581.16667,0.31,159.89
40581.20833,0.6,257.29
40581.25,0.73,308.43
40581.29167,0.58,249.83
40581.33333,0.55,238.85
40581.375,0.39,184.45
40581.41667,0.12,108.58
40581.45833,-0.03,75.07
40581.5,-0.15,52.69
40581.54167,-0.26,35.65
40581.58333,-0.28,32.91
40581.625,-0.11,59.71
40581.66667,0.01,83.4
40581.70833,0.26,145.43
40581.75,0.48,214.19
40581.79167,0.52,228.11
40581.83333,0.36,175.04
40581.875,0.23,137.08
40581.91667,0.1,103.76
40581.95833,-0.04,73.05
40582,-0.15,52.69
40582.04167,-0.17,49.35
40582.08333,-0.13,56.15
40582.125,-0.01,79.18
40582.16667,0.27,148.27
40582.20833,0.44,200.7
40582.25,0.6,257.29
40582.29167,0.61,261.06
40582.33333,0.56,242.48
40582.375,0.31,159.89
40582.41667,0.16,118.56
40582.45833,-0.03,75.07
40582.5,-0.16,51.01
40582.54167,-0.18,47.72
40582.58333,-0.19,46.11
40582.625,-0.08,65.26
40582.66667,0.15,116.02
40582.70833,0.29,154.02
40582.75,0.47,210.77
40582.79167,0.5,221.1
40582.83333,0.39,184.45
40582.875,0.3,156.94
40582.91667,0.16,118.56
40582.95833,0.03,87.73
40583,-0.09,63.39
40583.04167,-0.14,54.41
40583.08333,-0.08,65.26
40583.125,0.06,94.43
40583.16667,0.24,139.84
40583.20833,0.49,217.63
40583.25,0.62,264.85
40583.29167,0.65,276.41
40583.33333,0.69,292.2
40583.375,0.54,235.24
40583.41667,0.39,184.45
40583.45833,0.24,139.84
40583.5,0.1,103.76
40583.54167,-0.04,73.05
40583.58333,-0.1,61.54
40583.625,-0.03,75.07
40583.66667,0.06,94.43
40583.70833,0.27,148.27
40583.75,0.41,190.87
40583.79167,0.45,204.03
40583.83333,0.47,210.77
40583.875,0.41,190.87
40583.91667,0.29,154.02
40583.95833,0.22,134.35
40584,0.11,106.15
40584.04167,0,81.27
40584.08333,0.04,89.94
40584.125,0.1,103.76
40584.16667,0.2,128.98
40584.20833,0.4,187.65
40584.25,0.52,228.11
40584.29167,0.62,264.85
40584.33333,0.6,257.29
40584.375,0.51,224.59
40584.41667,0.35,171.95
40584.45833,0.18,123.71
40584.5,0.03,87.73
40584.54167,-0.11,59.71
40584.58333,-0.21,42.99
40584.625,-0.25,37.07
40584.66667,-0.2,44.54
40584.70833,-0.11,59.71
40584.75,0.01,83.4
40584.79167,0.14,113.52
40584.83333,0.22,134.35
40584.875,0.19,126.33
40584.91667,0.14,113.52
40584.95833,0.15,116.02
40585,0.06,94.43
40585.04167,0,81.27
40585.08333,0.01,83.4
40585.125,0.05,92.17
40585.16667,0.17,121.12
40585.20833,0.26,145.43
40585.25,0.43,197.4
40585.29167,0.53,231.67
40585.33333,0.5,221.1
40585.375,0.48,214.19
40585.41667,0.36,175.04
40585.45833,0.23,137.08
40585.5,0.12,108.58
40585.54167,0.01,83.4
40585.58333,-0.13,56.15
40585.625,-0.21,42.99
40585.66667,-0.21,42.99
40585.70833,-0.25,37.07
40585.75,-0.1,61.54
40585.79167,0,81.27
40585.83333,0.08,99.04
40585.875,0.12,108.58
40585.91667,0.17,121.12
40585.95833,0.16,118.56
40586,0.14,113.52
40586.04167,0.12,108.58
40586.08333,0.14,113.52
40586.125,0.2,128.98
40586.16667,0.28,151.13
40586.20833,0.36,175.04
